PATIENT_ID,CHEK1,CHEK2,ATM,ATR,BAD,BAX,RAD51,BCL2,BCL2L1,BRCA1,BRCA2,TP53,PALB2,BRIP1
TCGA-23-1026,4.353,4.3452,1.125,0.4789,20.5809,14.0196,6.6041,0.4771,39.432,0.4477,0.5742,41.956,1.8355,0.6158
TCGA-23-1027,5.0254,2.7367,2.0693,0.7821,25.9641,21.1902,6.0289,0.4886,41.0462,1.5998,0.4461,5.6264,4.6852,0.7783
TCGA-23-1028,6.4677,8.2088,1.394,1.5953,16.3662,20.9114,5.4214,3.394,32.5717,0.3606,1.1965,84.8227,4.481,0.3631
TCGA-23-1029,9.7213,4.9213,1.8558,1.5307,7.6294,16.8606,8.2691,5.4723,31.4627,1.7234,0.7507,34.7071,4.0027,1.1458
TCGA-23-1030,5.9867,3.7618,2.916,0.7129,8.9195,7.1281,3.0604,0.4718,67.9834,0.6036,0.8554,85.6176,2.4151,0.4712
TCGA-23-1032,5.9623,3.7343,0.5252,1.0961,31.4434,14.0354,4.0795,0.2631,56.3119,0.8593,0.5494,40.4825,1.6559,0.8725
TCGA-23-1107,4.4121,7.1907,0.4336,1.1469,16.5212,28.2178,7.1276,0.3851,33.1056,0.7526,0.3154,4.8364,1.9815,0.7119
TCGA-23-1109,4.8497,3.2731,1.5593,1.0336,25.9176,24.2936,8.4888,1.0353,149.0963,1.7298,1.371,52.4587,2.2907,1.3721
TCGA-23-1110,11.9397,3.1675,1.092,0.6515,19.5139,21.1233,5.4136,0.4396,68.4041,2.1449,0.3898,34.6136,9.8764,1.3265
TCGA-23-1111,3.9099,8.5394,2.2793,1.0557,13.1994,19.6608,3.8682,0.7177,62.2273,1.3731,0.6173,31.9952,1.9908,0.4848
TCGA-23-1113,2.8332,4.7762,0.5288,0.883,14.0797,22.5216,4.6957,0.5414,48.5293,1.1772,0.7707,3.9129,1.9442,0.3779
TCGA-23-1114,7.5952,4.1001,2.0533,0.9447,8.402,9.4481,3.1973,1.6667,41.9872,1.584,0.3507,20.4858,2.4878,1.8166
TCGA-23-1116,4.2007,3.555,1.3587,0.8255,14.7669,26.8832,4.1872,0.6713,45.8891,1.1583,0.4696,11.0557,2.1358,0.7449
TCGA-23-1118,6.499,5.7354,1.2471,1.3345,12.1509,21.2209,3.6451,0.527,33.1308,1.5584,1.5091,37.8916,3.7058,1.2957
TCGA-23-1119,3.8708,9.6283,2.0236,1.2833,11.853,13.1305,2.8331,0.5677,37.4721,1.0076,0.263,25.9359,2.3972,1.0608
TCGA-23-1120,6.1192,2.319,2.0129,1.6868,9.6248,35.3109,5.1853,0.5104,77.2675,3.2212,0.8813,32.4436,4.7442,1.7136
TCGA-23-1122,4.3427,9.2224,1.2858,1.1871,5.6446,13.3357,4.0525,0.6081,30.7214,6.6428,1.3724,40.6142,3.3441,0.9311
TCGA-23-1123,5.2591,6.1567,1.4887,1.124,10.4528,19.9023,4.1087,1.9263,36.3825,1.595,0.6823,38.8013,3.9637,0.7726
TCGA-23-1809,8.0948,5.8541,1.4196,1.3891,13.3317,37.6568,4.7299,0.1967,22.5111,3.1335,2.0249,40.8724,7.1626,1.3528
TCGA-23-2077,2.981,8.4581,1.6108,1.1018,8.8434,16.5715,2.0467,1.591,30.3613,1.1795,0.5899,62.4616,5.5411,0.404
TCGA-23-2078,10.9619,3.3828,2.3384,1.1365,9.6005,14.9985,5.27,1.1936,25.193,1.7352,1.0946,24.6499,3.4349,1.2046
TCGA-23-2081,3.8578,2.6797,2.0575,1.0847,10.1131,10.9522,4.414,0.4879,28.7431,1.4298,0.5239,23.8539,3.5116,0.5755
TCGA-23-2084,9.3684,5.8363,1.0776,1.4084,7.8881,15.7705,8.5604,0.4486,31.3722,2.6623,0.7689,6.7198,5.1267,1.7652
TCGA-24-0966,3.7895,2.5019,0.9234,1.0463,43.743,13.1264,4.0603,0.3752,43.0588,0.7837,0.2756,26.6806,2.5608,0.4054
TCGA-24-0968,3.9267,5.668,1.3676,1.154,12.4425,20.6514,4.7245,0.7193,33.0571,2.6261,1.132,59.4266,2.907,1.1421
TCGA-24-0970,3.6321,6.2577,0.8831,1.3264,19.6714,18.8176,3.9555,0.7762,43.7066,1.4923,1.6982,5.9629,1.7025,1.0156
TCGA-24-0975,4.07,1.9976,0.9237,0.7854,17.192,22.3921,3.9473,0.4723,73.4982,1.2995,0.1436,28.1418,1.5201,0.8252
TCGA-24-0979,3.3453,3.9697,1.1175,1.2238,12.0872,11.1865,4.452,0.4956,41.2092,1.8326,1.2165,58.7461,2.0415,0.481
TCGA-24-0982,4.3947,4.8381,1.5803,1.1303,6.9302,14.9531,4.4864,0.858,54.9692,1.6914,1.0162,55.8586,3.9108,0.8619
TCGA-24-1103,6.384,6.5041,1.609,0.9268,14.366,18.2862,3.0665,0.7042,35.3521,1.2749,0.7187,6.7396,3.0018,0.8688
TCGA-24-1104,3.0995,1.4614,1.5116,1.0189,17.1635,19.3065,2.0948,0.529,43.4481,0.3118,0.3656,16.3452,3.0074,0.2573
